name,fighter_id,match_type,score
Cain Carrizosa,613,exact,100
Cain Velasquez,614,exact,100
Caio Borralho,616,exact,100
Caio Machado,617,exact,100
Caio Magalhaes,618,exact,100
Cal Worsham,619,exact,100
Cale Yarbrough,620,exact,100
Callan Potter,622,exact,100
Calvin Kattar,623,exact,100
Cam Rowston,624,exact,100
Cameron Dollar,627,exact,100
Cameron Else,628,exact,100
Cameron Saaiman,630,exact,100
Cameron Smotherman,631,exact,100
Cameron VanCamp,632,exact,100
Caol Uno,634,exact,100
Caolan Loughran,635,exact,100
Carl Deaton,637,exact,100
Carla Esparza,641,exact,100
Carli Judice,642,exact,100
Carlo Pedersoli Jr.,643,exact,100
Carlo Prater,644,exact,100
Carlos Barreto,645,exact,100
Carlos Candelario,647,exact,100
Carlos Condit,648,exact,100
Carlos Eduardo Rocha,649,exact,100
Carlos Felipe,650,exact,100
Carlos Hernandez,651,exact,100
Carlos Huachin,652,exact,100
Carlos Leal,653,exact,100
Carlos Mota,654,exact,100
Carlos Newton,655,exact,100
Carlos Prates,656,exact,100
Carlos Ulberg,657,exact,100
Carlos Vera,658,exact,100
Carls John De Tomas,660,exact,100
Carlston Harris,661,exact,100
Carlton Minus,663,exact,100
Carmelo Marrero,664,exact,100
Caros Fodor,666,exact,100
Casey Kenney,669,exact,100
Casey O'Neill,670,exact,100
Cat Zingano,673,exact,100
Cathal Pendred,674,exact,100
Cesar Almeida,676,exact,100
Cesar Arzamendia,677,exact,100
Cesar Marscucci,679,exact,100
Cezar Ferreira,680,exact,100
Cezary Oleksiejczuk,681,exact,100
Chad Anheliger,682,exact,100
Chad Griggs,686,exact,100
Chad Laprise,689,exact,100
Chad Mendes,691,exact,100
Chad Reiner,692,exact,100
Chael Sonnen,697,exact,100
Chan Sung Jung,699,exact,100
Chan-Mi Jeon,700,exact,100
Chance Rencountre,702,exact,100
ChangHo Lee,704,exact,100
Charalampos Grigoriou,706,exact,100
Charles Byrd,709,exact,100
Charles Johnson,710,exact,100
Charles Jourdain,711,exact,100
Charles McCarthy,712,exact,100
Charles Oliveira,714,exact,100
Charles Radtke,715,exact,100
Charles Rosa,716,exact,100
Charlie Brenneman,717,exact,100
Charlie Campbell,718,exact,100
Charlie Ontiveros,720,exact,100
Charlie Valencia,721,exact,100
Charlie Ward,722,exact,100
Chas Skelly,724,exact,100
Chase Gormley,727,exact,100
Chase Hooper,728,exact,100
Chase Sherman,729,exact,100
Che Mills,733,exact,100
Cheick Kongo,734,exact,100
Chelsea Chandler,736,exact,100
Chepe Mariscal,738,exact,100
Cheyanne Vlismas,739,exact,100
Chico Camus,743,exact,100
Chidi Njokuani,744,exact,100
Chris Avila,746,exact,100
Chris Barnett,747,exact,100
Chris Beal,749,exact,100
Chris Brennan,752,exact,100
Chris Camozzi,754,exact,100
Chris Cariaso,755,exact,100
Chris Clements,756,exact,100
Chris Condo,758,exact,100
Chris Cope,759,exact,100
Chris Curtis,761,exact,100
Chris Daukaus,762,exact,100
Chris Dempsey,763,exact,100
Chris Duncan,765,exact,100
Chris Fishgold,767,exact,100
Chris Gruetzemacher,768,exact,100
Chris Gutierrez,770,exact,100
Chris Haseman,771,exact,100
Chris Heatherly,773,exact,100
Chris Holdsworth,776,exact,100
Chris Indich,779,exact,100
Chris Kelades,782,exact,100
Chris Leben,783,exact,100
Chris Liguori,784,exact,100
Chris Lytle,785,exact,100
Chris Padilla,789,exact,100
